Pos,Name,Time,Category (POS),Gender (POS),Swim,T1,Cycle,T2,Run,Bib,Category_pos,Gender_pos,Category,Gender
366,Neil PAGE ,11:39:30,30-34 (40),Male (309),01:22:56,00:08:29,06:13:55,00:05:39,03:48:28,#559,40,309,30-34,Male 
367,Rosie FARRELL ,11:39:33,35-39 (11),Female (58),01:07:17,00:04:35,05:22:00,00:03:12,05:02:26,#306,11,58,35-39,Female 
368,Will SCHROEDER ,11:40:11,40-44 (60),Male (310),01:19:30,00:04:46,05:38:33,00:05:47,04:31:33,#804,60,310,40-44,Male 
369,Tony YOUNG ,11:40:33,45-49 (66),Male (311),01:15:27,00:04:34,05:41:13,00:03:57,04:35:20,#978,66,311,45-49,Male 
370,David SAINSBURY ,11:40:45,45-49 (67),Male (312),01:00:52,00:08:02,05:43:28,00:07:25,04:40:56,#951,67,312,45-49,Male 
371,James LOOSEMORE ,11:40:49,25-29 (35),Male (313),01:12:13,00:05:13,06:10:18,00:03:16,04:09:48,#467,35,313,25-29,Male 
372,Nitish KULKARNI ,11:41:05,18-24 (9),Male (314),00:58:24,00:05:15,05:55:45,00:07:48,04:33:51,#431,9,314,18-24,Male 
373,Gareth MALPELI ,11:41:56,45-49 (68),Male (315),01:08:32,00:05:55,05:50:14,00:04:43,04:32:29,#923,68,315,45-49,Male 
374,Paul CAMERON ,11:42:17,40-44 (61),Male (316),01:15:58,00:04:50,05:55:08,00:03:53,04:22:25,#283,61,316,40-44,Male 
375,Kylie BATH ,11:42:22,50-54 (3),Female (59),01:27:47,00:05:24,05:53:40,00:03:38,04:11:50,#1081,3,59,50-54,Female 
376,Tim WESTON ,11:42:30,55-59 (12),Male (317),01:18:38,00:07:59,06:02:57,00:07:51,04:05:03,#1134,12,317,55-59,Male 
377,Graham LEESON ,11:42:48,35-39 (54),Male (318),01:13:07,00:07:02,05:31:10,00:05:08,04:46:20,#652,54,318,35-39,Male 
378,Bobby ECCLES ,11:42:48,25-29 (36),Male (319),01:32:22,00:09:50,05:57:49,00:06:30,03:56:14,#381,36,319,25-29,Male 
379,Adrian KENNY ,11:43:13,45-49 (69),Male (320),01:15:19,00:08:24,05:35:00,00:06:32,04:37:56,#910,69,320,45-49,Male 
380,Takuya HIRAKI ,11:44:23,55-59 (13),Male (321),01:18:47,00:09:38,06:16:23,00:09:13,03:50:21,#1111,13,321,55-59,Male 
381,Scott HENNING ,11:44:26,30-34 (41),Male (322),01:11:10,00:10:12,05:46:44,00:10:01,04:26:17,#539,41,322,30-34,Male 
382,Glen VOSS ,11:45:35,30-34 (42),Male (323),01:18:24,00:04:05,05:25:02,00:04:28,04:53:34,#369,42,323,30-34,Male 
383,Lars GRØNBORG ,11:45:37,30-34 (43),Male (324),01:15:31,00:04:10,05:23:06,00:04:03,04:58:45,#278,43,324,30-34,Male 
384,Christian CAMPBELL ,11:45:38,45-49 (70),Male (325),01:07:51,00:03:57,05:22:39,00:05:05,05:06:04,#255,70,325,45-49,Male 
385,Leanne KEATING ,11:45:47,50-54 (4),Female (60),01:19:54,00:05:14,06:10:32,00:03:46,04:06:18,#1088,4,60,50-54,Female 
386,Robert TROY ,11:45:50,40-44 (62),Male (326),01:19:32,00:08:41,05:55:14,00:04:54,04:17:27,#379,62,326,40-44,Male 
387,Brent SHAW ,11:46:06,45-49 (71),Male (327),01:06:11,00:08:48,06:12:02,00:06:00,04:13:03,#952,71,327,45-49,Male 
388,Claire FERGUSON ,11:46:55,35-39 (12),Female (61),01:09:30,00:04:38,05:47:49,00:04:43,04:40:13,#712,12,61,35-39,Female 
389,Nathan BREUST ,11:47:03,30-34 (44),Male (328),01:06:02,00:08:26,05:36:09,00:05:51,04:50:32,#339,44,328,30-34,Male 
390,John CONNELL ,11:47:07,55-59 (14),Male (329),01:06:37,00:06:42,05:33:06,00:06:36,04:54:03,#217,14,329,55-59,Male 
391,Robbie WALLACE ,11:47:11,40-44 (63),Male (330),01:11:11,00:04:54,05:38:48,00:06:23,04:45:53,#820,63,330,40-44,Male 
392,Cameron AGNEW ,11:48:05,40-44 (64),Male (331),01:06:38,00:05:19,05:38:12,00:04:21,04:53:32,#728,64,331,40-44,Male 
393,Andrew CAHILL ,11:48:38,30-34 (45),Male (332),01:24:08,00:08:26,06:05:12,00:05:41,04:05:09,#518,45,332,30-34,Male 
394,Michelle MANNING ,11:48:49,35-39 (13),Female (62),01:00:51,00:06:04,06:20:13,00:03:03,04:18:36,#720,13,62,35-39,Female 
395,John PANTELIS ,11:48:56,60-64 (2),Male (333),01:24:09,00:05:22,05:57:04,00:03:37,04:18:41,#12025,2,333,60-64,Male 
396,Wes ENTICOTT ,11:48:56,40-44 (65),Male (334),00:57:05,00:03:41,05:18:37,00:05:36,05:23:55,#753,65,334,40-44,Male 
397,Jason DE BRUYN ,11:49:21,25-29 (37),Male (335),01:01:05,00:04:23,05:47:12,00:04:44,04:51:55,#448,37,335,25-29,Male 
398,Stephen STOTHART ,11:50:06,30-34 (46),Male (336),01:00:14,00:06:56,05:43:26,00:06:12,04:53:16,#572,46,336,30-34,Male 
399,Grant OLSEN ,11:50:58,40-44 (66),Male (337),01:08:57,00:07:08,05:37:14,00:04:02,04:53:34,#212,66,337,40-44,Male 
400,David MCLEOD ,11:51:48,60-64 (3),Male (338),01:13:41,00:05:17,06:04:36,00:03:26,04:24:46,#1197,3,338,60-64,Male 
401,Christopher BROWN ,11:51:54,45-49 (72),Male (339),01:07:31,00:05:41,05:43:47,00:05:15,04:49:38,#865,72,339,45-49,Male 
402,Robert KENT ,11:53:10,45-49 (73),Male (340),01:06:24,00:06:50,05:54:30,00:04:54,04:40:28,#911,73,340,45-49,Male 
403,Ryan WILLSHER ,11:53:13,35-39 (55),Male (341),01:20:15,00:10:49,05:46:02,00:07:12,04:28:53,#414,55,341,35-39,Male 
404,Jason WILBUR ,11:53:32,45-49 (74),Male (342),01:13:47,00:09:08,05:43:35,00:07:22,04:39:39,#353,74,342,45-49,Male 
405,Paul PREE ,11:53:35,50-54 (27),Male (343),01:22:12,00:08:29,05:34:31,00:08:08,04:40:12,#405,27,343,50-54,Male 
406,Jamie PARR ,11:54:28,45-49 (75),Male (344),01:09:13,00:05:37,05:40:36,00:07:31,04:51:29,#945,75,344,45-49,Male 
407,Johnny HAIG ,11:54:36,45-49 (76),Male (345),01:15:24,00:07:52,05:33:23,00:05:14,04:52:40,#893,76,345,45-49,Male 
408,David PROCTOR ,11:54:46,35-39 (56),Male (346),01:11:02,00:05:59,05:56:47,00:05:38,04:35:19,#678,56,346,35-39,Male 
409,Richard DIPANE ,11:55:10,40-44 (67),Male (347),01:09:44,00:05:11,05:26:59,00:06:18,05:06:57,#751,67,347,40-44,Male 
410,Benjamin HABERLEY ,11:56:43,25-29 (38),Male (348),01:05:53,00:06:59,06:02:52,00:05:57,04:34:59,#458,38,348,25-29,Male 
411,Jo COPE ,11:56:44,45-49 (10),Female (63),01:23:46,00:07:37,06:01:12,00:07:00,04:17:07,#256,10,63,45-49,Female 
412,Anton KAPEL ,11:57:12,45-49 (77),Male (349),01:12:16,00:08:39,05:35:02,00:08:39,04:52:34,#14006,77,349,45-49,Male 
413,Adam SHIPARD ,11:57:20,45-49 (78),Male (350),01:14:29,00:05:39,05:41:40,00:05:53,04:49:38,#955,78,350,45-49,Male 
414,Matthew HAYES ,11:57:36,45-49 (79),Male (351),01:02:17,00:05:44,05:41:03,00:04:26,05:04:05,#896,79,351,45-49,Male 
415,Atsushi SAKATA ,11:57:53,45-49 (80),Male (352),01:20:53,00:10:16,05:52:38,00:07:37,04:26:26,#263,80,352,45-49,Male 
416,Daniel PARKMAN ,11:58:01,45-49 (81),Male (353),01:13:56,00:08:17,05:49:16,00:08:37,04:37:53,#944,81,353,45-49,Male 
417,Duncan WAKES-MILLER ,11:58:06,50-54 (28),Male (354),01:14:27,00:05:13,05:53:50,00:04:02,04:40:31,#1068,28,354,50-54,Male 
418,Timmy WALDON ,11:58:34,35-39 (57),Male (355),01:16:39,00:06:24,05:50:27,00:05:34,04:39:27,#698,57,355,35-39,Male 
419,Alexander FINLAYSON ,11:58:35,25-29 (39),Male (356),01:11:46,00:06:51,05:49:49,00:06:52,04:43:15,#453,39,356,25-29,Male 
420,Shigeo FUJITA ,11:58:46,50-54 (29),Male (357),01:16:44,00:06:34,05:53:15,00:05:00,04:37:11,#265,29,357,50-54,Male 
421,Sean WRIGLEY ,11:59:05,25-29 (40),Male (358),01:13:36,00:08:58,05:56:13,00:07:39,04:32:37,#488,40,358,25-29,Male 
422,Richard BURLINSON ,11:59:12,30-34 (47),Male (359),01:17:27,00:07:44,06:06:07,00:06:58,04:20:55,#516,47,359,30-34,Male 
423,Megan MOA ,11:59:24,50-54 (5),Female (64),01:15:16,00:05:28,05:55:24,00:03:20,04:39:54,#244,5,64,50-54,Female 
424,Tetsuo WATANABE ,11:59:27,40-44 (68),Male (360),01:22:33,00:10:11,06:13:45,00:09:12,04:03:44,#822,68,360,40-44,Male 
425,Damien BROWN ,11:59:40,40-44 (69),Male (361),01:08:01,00:05:00,05:50:26,00:03:44,04:52:28,#370,69,361,40-44,Male 
426,Kelsey ROBERTS ,12:00:39,25-29 (5),Female (65),01:02:55,00:05:05,06:02:51,00:06:53,04:42:54,#313,5,65,25-29,Female 
427,William CHRISTIAN ,12:00:59,18-24 (10),Male (362),01:13:56,00:07:07,05:38:59,00:06:20,04:54:35,#424,10,362,18-24,Male 
428,Nobuhito TAGUCHI ,12:01:09,40-44 (70),Male (363),01:16:52,00:08:44,05:55:13,00:06:34,04:33:45,#812,70,363,40-44,Male 
429,Rory SLABBERT ,12:01:19,35-39 (58),Male (364),01:25:55,00:08:05,05:39:46,00:06:02,04:41:28,#107,58,364,35-39,Male 
430,Derek TIDEY ,12:01:34,45-49 (82),Male (365),01:08:40,00:08:08,05:46:00,00:06:11,04:52:34,#352,82,365,45-49,Male 
431,Brett COHEN ,12:01:44,40-44 (71),Male (366),01:41:38,00:09:39,06:10:06,00:05:54,03:54:25,#743,71,366,40-44,Male 
432,Melissa BEALE ,12:01:46,30-34 (10),Female (66),01:07:46,00:07:18,06:13:08,00:03:14,04:30:18,#593,10,66,30-34,Female 
433,Aaron BUCHAN ,12:02:09,35-39 (59),Male (367),00:59:50,00:03:54,05:31:13,00:06:07,05:21:03,#615,59,367,35-39,Male 
434,James EWART-MURPHY ,12:02:13,18-24 (11),Male (368),00:57:46,00:05:18,05:49:34,00:09:59,04:59:34,#426,11,368,18-24,Male 
435,Dean GURNEY ,12:02:27,35-39 (60),Male (369),01:04:53,00:07:08,05:51:41,00:09:40,04:49:05,#637,60,369,35-39,Male 
436,Marc BOLTON ,12:02:54,35-39 (61),Male (370),01:36:13,00:07:10,05:58:43,00:06:30,04:14:15,#612,61,370,35-39,Male 
437,Natasha BEVILACQUA ,12:02:54,35-39 (14),Female (67),01:16:45,00:07:22,06:02:26,00:06:35,04:29:44,#333,14,67,35-39,Female 
438,Yvonne LEARMONTH ,12:03:03,35-39 (15),Female (68),01:33:39,00:05:45,05:47:17,00:05:53,04:30:26,#308,15,68,35-39,Female 
439,Michael OSBORN ,12:03:38,45-49 (83),Male (371),01:20:19,00:09:28,05:57:05,00:08:12,04:28:32,#942,83,371,45-49,Male 
440,Stefano MORITSCH ,12:03:45,30-34 (48),Male (372),01:18:59,00:06:40,06:20:52,00:12:20,04:04:53,#555,48,372,30-34,Male 
441,Ulysse DE MEDTS ,12:04:03,25-29 (41),Male (373),01:22:08,00:07:00,05:54:44,00:06:13,04:33:56,#449,41,373,25-29,Male 
442,Ian FABIAN ,12:04:26,55-59 (15),Male (374),01:36:08,00:11:37,05:40:22,00:08:27,04:27:51,#1108,15,374,55-59,Male 
443,Greg FLEAY ,12:04:45,55-59 (16),Male (375),01:09:55,00:08:02,06:09:05,00:09:35,04:28:07,#1182,16,375,55-59,Male 
444,Chris MCVICARS ,12:05:22,50-54 (30),Male (376),01:20:15,00:09:10,05:55:22,00:06:44,04:33:49,#1047,30,376,50-54,Male 
445,Terrence SAUNDER ,12:05:28,55-59 (17),Male (377),01:20:06,00:06:41,05:29:28,00:03:41,05:05:31,#1125,17,377,55-59,Male 
446,Tim BURNS ,12:05:43,50-54 (31),Male (378),01:26:37,00:05:59,05:28:08,00:04:59,04:59:59,#1021,31,378,50-54,Male 
447,James FRITH ,12:05:47,45-49 (84),Male (379),01:31:38,00:05:09,05:38:02,00:12:11,04:38:45,#323,84,379,45-49,Male 
448,Dave CATT ,12:06:03,40-44 (72),Male (380),01:07:05,00:04:17,05:22:01,00:05:46,05:26:52,#739,72,380,40-44,Male 
449,David CHAMBERS ,12:06:05,50-54 (32),Male (381),01:11:09,00:06:48,05:52:21,00:08:07,04:47:39,#1023,32,381,50-54,Male 
450,Matt CALLINAN ,12:06:07,35-39 (62),Male (382),01:22:31,00:04:56,05:38:05,00:04:58,04:55:35,#618,62,382,35-39,Male 
451,Lazio CRESCENTINI ,12:06:18,30-34 (49),Male (383),01:20:27,00:11:37,05:27:16,00:05:02,05:01:55,#525,49,383,30-34,Male 
452,Murray WALLS ,12:06:47,55-59 (18),Male (384),01:13:30,00:11:16,05:56:47,00:09:54,04:35:18,#1133,18,384,55-59,Male 
453,Peter GOURLAS ,12:06:48,50-54 (33),Male (385),01:23:50,00:10:21,06:00:23,00:06:17,04:25:56,#1034,33,385,50-54,Male 
454,Shane SERCOMBE ,12:08:03,35-39 (63),Male (386),01:19:24,00:06:33,06:08:11,00:04:08,04:29:45,#686,63,386,35-39,Male 
455,Greg SOO ,12:08:03,35-39 (64),Male (387),01:35:20,00:12:43,05:56:51,00:08:47,04:14:20,#690,64,387,35-39,Male 
456,Simone ALLEN ,12:08:32,35-39 (16),Female (69),01:10:49,00:03:29,06:09:13,00:02:59,04:41:59,#706,16,69,35-39,Female 
457,Michael MCGREGOR ,12:09:09,30-34 (50),Male (388),01:21:21,00:07:19,06:08:46,00:04:29,04:27:13,#554,50,388,30-34,Male 
458,Nathan NORTH ,12:09:17,40-44 (73),Male (389),01:11:59,00:05:40,05:58:57,00:07:32,04:45:07,#377,73,389,40-44,Male 
459,Nathan GLARVEY ,12:09:20,40-44 (74),Male (390),01:09:19,00:04:58,05:51:40,00:08:02,04:55:21,#757,74,390,40-44,Male 
460,Andrew PRESTNEY ,12:09:43,50-54 (34),Male (391),01:16:33,00:06:48,05:44:57,00:04:24,04:56:59,#1058,34,391,50-54,Male 
461,Marie ANDRIEUX ,12:12:51,35-39 (17),Female (70),01:18:56,00:05:36,06:04:42,00:05:38,04:37:59,#194,17,70,35-39,Female 
462,Fleur DENNIS ,12:13:43,45-49 (11),Female (71),01:13:11,00:05:44,05:56:05,00:03:58,04:54:44,#989,11,71,45-49,Female 
463,Sarah TRELOAR ,12:13:57,25-29 (6),Female (72),01:02:08,00:06:02,05:48:32,00:05:46,05:11:27,#508,6,72,25-29,Female 
464,Jacob HAMMER ,12:14:23,30-34 (51),Male (392),01:13:35,00:05:40,05:51:07,00:04:29,04:59:30,#537,51,392,30-34,Male 
465,Rahmat MATONDANG ,12:14:29,40-44 (75),Male (393),01:11:42,00:08:54,05:53:25,00:05:47,04:54:40,#777,75,393,40-44,Male 
466,Alan JANSON ,12:14:56,50-54 (35),Male (394),01:08:20,00:08:19,06:01:20,00:06:07,04:50:49,#1040,35,394,50-54,Male 
467,Maria Paz CHARPENTIER ,12:14:57,25-29 (7),Female (73),01:31:34,00:10:00,06:16:33,00:07:16,04:09:32,#495,7,73,25-29,Female 
468,James BURTON ,12:15:15,45-49 (85),Male (395),01:13:38,00:08:46,05:31:37,00:07:22,05:13:50,#867,85,395,45-49,Male 
469,Kate HICKS ,12:15:48,30-34 (11),Female (74),01:17:09,00:07:15,05:54:07,00:08:47,04:48:28,#309,11,74,30-34,Female 
470,Trevor WARD ,12:15:55,55-59 (19),Male (396),01:17:36,00:07:08,05:59:19,00:07:45,04:44:05,#162,19,396,55-59,Male 
471,Nigel IERACI ,12:15:56,40-44 (76),Male (397),01:14:31,00:04:39,05:47:33,00:04:50,05:04:21,#199,76,397,40-44,Male 
472,Max CONSTANDUROS ,12:16:01,30-34 (52),Male (398),01:20:49,00:08:28,05:56:19,00:07:07,04:43:16,#524,52,398,30-34,Male 
473,Ian HAWKE ,12:16:02,45-49 (86),Male (399),01:15:59,00:09:15,05:51:20,00:09:36,04:49:51,#895,86,399,45-49,Male 
474,Trudy GRAHAME ,12:16:19,45-49 (12),Female (75),01:04:08,00:06:41,06:01:04,00:05:22,04:59:02,#207,12,75,45-49,Female 
475,Tom CALLAGHAN ,12:16:25,25-29 (42),Male (400),01:10:06,00:05:22,05:38:15,00:06:58,05:15:43,#151,42,400,25-29,Male 
476,Kenneth STRATTON ,12:16:29,35-39 (65),Male (401),01:01:23,00:05:39,05:32:24,00:07:16,05:29:46,#363,65,401,35-39,Male 
477,Lori DUNBAR-SMITH ,12:17:14,45-49 (13),Female (76),01:15:44,00:08:56,06:20:01,00:06:59,04:25:31,#990,13,76,45-49,Female 
478,Kieran ROWLAND ,12:17:36,35-39 (66),Male (402),01:19:47,00:04:34,05:27:16,00:06:20,05:19:38,#681,66,402,35-39,Male 
479,Ken ROBERTS ,12:17:45,40-44 (77),Male (403),01:06:49,00:07:26,05:45:03,00:11:28,05:06:57,#801,77,403,40-44,Male 
480,Wendy PAYNE ,12:18:00,45-49 (14),Female (77),01:22:47,00:07:35,05:56:12,00:05:06,04:46:19,#1004,14,77,45-49,Female 
481,Michael DAWSON ,12:18:25,60-64 (4),Male (404),01:05:00,00:05:45,06:00:04,00:07:51,04:59:43,#274,4,404,60-64,Male 
482,Andrew COSGRAVE ,12:18:26,50-54 (36),Male (405),01:00:12,00:05:34,05:37:09,00:08:20,05:27:09,#215,36,405,50-54,Male 
483,Moya JONES ,12:18:28,55-59 (3),Female (78),01:12:12,00:07:32,06:06:06,00:08:49,04:43:47,#399,3,78,55-59,Female 
484,Harry MITCHELL ,12:18:32,45-49 (87),Male (406),01:40:00,00:08:19,05:43:42,00:05:30,04:40:59,#933,87,406,45-49,Male 
485,Benjamin RANSOM ,12:18:37,30-34 (53),Male (407),01:24:46,00:11:19,05:42:48,00:08:18,04:51:23,#564,53,407,30-34,Male 
486,Melina TOWNSEND ,12:19:39,45-49 (15),Female (79),01:10:49,00:05:38,05:38:15,00:04:47,05:20:07,#177,15,79,45-49,Female 
487,James LYNCH ,12:20:29,45-49 (88),Male (408),01:13:07,00:12:09,06:32:16,00:10:48,04:12:07,#261,88,408,45-49,Male 
488,Tammy COLLINS ,12:20:39,35-39 (18),Female (80),01:12:13,00:06:02,06:40:57,00:06:51,04:14:33,#709,18,80,35-39,Female 
489,Ruslan GARAPOV ,12:21:13,25-29 (43),Male (409),00:57:51,00:05:29,05:51:41,00:07:08,05:19:03,#455,43,409,25-29,Male 
490,Andreanna HUMPHREY ,12:21:17,35-39 (19),Female (81),01:10:38,00:04:57,05:59:44,00:04:29,05:01:26,#198,19,81,35-39,Female 
491,Martin THORSEN ,12:21:36,40-44 (78),Male (410),00:58:15,00:04:26,05:50:51,00:07:35,05:20:27,#815,78,410,40-44,Male 
492,Michelle RUITENBEEK ,12:21:53,50-54 (6),Female (82),01:38:04,00:08:35,06:05:56,00:05:49,04:23:28,#204,6,82,50-54,Female 
493,David HAY ,12:22:23,55-59 (20),Male (411),01:08:37,00:03:02,06:08:21,00:03:20,04:59:01,#292,20,411,55-59,Male 
494,Emma PETERSON ,12:22:24,35-39 (20),Female (83),01:28:10,00:06:34,06:08:36,00:04:49,04:34:13,#722,20,83,35-39,Female 
495,Jenny MILLER ,12:23:50,25-29 (8),Female (84),01:14:12,00:05:19,06:53:13,00:06:08,04:04:56,#504,8,84,25-29,Female 
496,Philip DAY ,12:25:23,40-44 (79),Male (412),01:20:15,00:07:16,05:51:14,00:06:40,04:59:55,#747,79,412,40-44,Male 
497,Aishling REES ,12:25:33,40-44 (13),Female (85),01:17:04,00:06:47,06:22:40,00:04:42,04:34:18,#849,13,85,40-44,Female 
498,Philip MCGLADE ,12:25:33,45-49 (89),Male (413),01:13:27,00:08:31,05:25:24,00:06:15,05:31:55,#928,89,413,45-49,Male 
499,Michael SCHOBER ,12:25:46,25-29 (44),Male (414),01:11:56,00:05:29,05:34:53,00:10:12,05:23:14,#483,44,414,25-29,Male 
500,Troy TOMKINS ,12:25:58,45-49 (90),Male (415),01:09:40,00:05:26,05:45:37,00:05:56,05:19:18,#966,90,415,45-49,Male 
501,Damien DWYER ,12:26:03,35-39 (67),Male (416),01:14:17,00:08:40,06:53:39,00:05:34,04:03:50,#626,67,416,35-39,Male 
502,Nigel TILLEARD ,12:26:10,50-54 (37),Male (417),01:06:47,00:06:50,06:11:45,00:04:08,04:56:39,#412,37,417,50-54,Male 
503,Simon HORROCKS ,12:26:57,50-54 (38),Male (418),01:19:22,00:04:45,05:57:18,00:04:47,05:00:43,#1039,38,418,50-54,Male 
504,Fausto LABRUTO ,12:27:02,40-44 (80),Male (419),01:22:55,00:07:58,06:41:37,00:04:33,04:09:57,#770,80,419,40-44,Male 
505,Meta VINCENT ,12:27:37,45-49 (16),Female (86),01:25:41,00:08:14,06:26:33,00:07:39,04:19:28,#109,16,86,45-49,Female 
506,Monique KELLEY ,12:27:42,45-49 (17),Female (87),01:18:17,00:09:26,06:11:03,00:09:53,04:39:01,#999,17,87,45-49,Female 
507,Nicholas ROBERTS ,12:28:05,25-29 (45),Male (420),01:24:52,00:07:35,06:21:54,00:06:40,04:27:01,#482,45,420,25-29,Male 
508,Sally UPHAM ,12:28:20,40-44 (14),Female (88),01:16:58,00:07:55,06:23:08,00:05:15,04:35:01,#193,14,88,40-44,Female 
509,Simon SMITH ,12:28:32,40-44 (81),Male (421),01:15:48,00:07:26,05:31:17,00:07:20,05:26:39,#808,81,421,40-44,Male 
510,Simon BROOKS ,12:28:34,35-39 (68),Male (422),01:14:29,00:06:08,05:55:32,00:06:30,05:05:53,#614,68,422,35-39,Male 
511,Damien COOPER ,12:28:38,45-49 (91),Male (423),01:22:31,00:07:10,06:01:46,00:06:27,04:50:42,#872,91,423,45-49,Male 
512,Henry NORRIS ,12:28:58,25-29 (46),Male (424),01:16:29,00:09:04,06:28:35,00:06:29,04:28:18,#477,46,424,25-29,Male 
513,Vivian OLDFIELD ,12:29:56,35-39 (69),Male (425),01:00:21,00:04:50,05:48:52,00:05:34,05:30:17,#1198,69,425,35-39,Male 
514,Darren GARVEY ,12:30:17,45-49 (92),Male (426),01:18:39,00:06:51,06:02:24,00:07:40,04:54:42,#890,92,426,45-49,Male 
515,Hirofumi HAYAMA ,12:30:22,60-64 (5),Male (427),01:26:39,00:10:05,05:36:29,00:13:15,05:03:52,#275,5,427,60-64,Male 
516,Brad BOOTSMA ,12:31:05,45-49 (93),Male (428),01:25:28,00:05:44,05:31:27,00:05:12,05:23:12,#106,93,428,45-49,Male 
517,Abel LIU NAM HAN ,12:31:25,30-34 (54),Male (429),01:13:08,00:07:45,06:01:41,00:13:03,04:55:46,#552,54,429,30-34,Male 
518,Visit KAWINWONGGOWIT ,12:31:35,30-34 (55),Male (430),01:29:35,00:11:33,05:40:42,00:10:17,04:59:25,#545,55,430,30-34,Male 
519,Kate BRIEN ,12:31:35,50-54 (7),Female (89),01:18:27,00:06:26,05:58:18,00:06:55,05:01:27,#1082,7,89,50-54,Female 
520,Andrew REDBURN ,12:31:55,45-49 (94),Male (431),01:22:37,00:06:41,06:07:13,00:05:01,04:50:21,#948,94,431,45-49,Male 
521,Tuong PHAN ,12:32:11,40-44 (82),Male (432),01:22:15,00:10:40,06:23:15,00:12:05,04:23:53,#792,82,432,40-44,Male 
522,Christian HYDE ,12:32:28,30-34 (56),Male (433),01:27:21,00:11:53,06:26:15,00:07:58,04:18:59,#1190,56,433,30-34,Male 
523,Carolyn NUGENT ,12:32:41,50-54 (8),Female (90),01:15:00,00:07:11,05:52:42,00:07:17,05:10:28,#403,8,90,50-54,Female 
524,Martin BOUTARD ,12:32:52,45-49 (95),Male (434),01:06:36,00:08:35,06:09:18,00:13:38,04:54:42,#863,95,434,45-49,Male 
525,Gayle YOUNG ,12:32:59,50-54 (9),Female (91),01:18:00,00:03:50,06:11:55,00:03:25,04:55:48,#1098,9,91,50-54,Female 
526,Rod HOFMAIER ,12:33:11,45-49 (96),Male (435),01:16:22,00:06:37,06:05:59,00:05:18,04:58:52,#902,96,435,45-49,Male 
527,Jean-Francois KLENTZI ,12:33:17,45-49 (97),Male (436),01:29:27,00:07:11,05:42:52,00:04:19,05:09:27,#912,97,436,45-49,Male 
528,Chris FERRETT ,12:33:29,30-34 (57),Male (437),00:54:29,00:03:46,06:13:40,00:05:49,05:15:44,#533,57,437,30-34,Male 
529,Bradley GREEN ,12:33:29,25-29 (47),Male (438),01:22:54,00:11:03,06:11:32,00:08:19,04:39:39,#102,47,438,25-29,Male 
530,Karen MCPHERSON ,12:33:38,60-64 (1),Female (92),01:13:59,00:06:17,05:55:55,00:06:42,05:10:43,#1161,1,92,60-64,Female 
531,Jose Edcar PEQUIERDA ,12:33:48,45-49 (98),Male (439),01:21:33,00:10:58,06:03:09,00:07:02,04:51:03,#947,98,439,45-49,Male 
532,Damon ROOTES ,12:34:09,18-24 (12),Male (440),01:19:54,00:06:21,06:04:18,00:07:04,04:56:30,#435,12,440,18-24,Male 
533,Suzanne WEATHERHEAD ,12:34:17,40-44 (15),Female (93),01:10:44,00:06:58,05:53:34,00:07:03,05:15:56,#304,15,93,40-44,Female 
534,Andrew CHANG ,12:34:39,55-59 (21),Male (441),01:32:57,00:07:49,05:47:19,00:03:38,05:02:54,#1104,21,441,55-59,Male 
535,Mark KAY ,12:34:47,50-54 (39),Male (442),00:51:49,00:03:44,05:33:00,00:06:39,05:59:33,#14003,39,442,50-54,Male 
536,Richard SPANGLER ,12:34:59,35-39 (70),Male (443),01:16:30,00:08:41,05:43:12,00:07:12,05:19:22,#691,70,443,35-39,Male 
537,Phuripant DURONGTHEERATCHAKUL ,12:36:15,40-44 (83),Male (444),01:18:46,00:07:04,05:43:05,00:06:01,05:21:18,#372,83,444,40-44,Male 
538,Chad VINEY ,12:36:19,40-44 (84),Male (445),01:08:20,00:07:50,05:42:27,00:09:06,05:28:33,#336,84,445,40-44,Male 
539,Paul CARR ,12:36:34,40-44 (85),Male (446),01:06:00,00:09:47,06:03:22,00:11:11,05:06:12,#316,85,446,40-44,Male 
540,Craig MAUGER ,12:36:53,45-49 (99),Male (447),01:14:55,00:06:30,05:25:55,00:05:38,05:43:52,#254,99,447,45-49,Male 
541,George FUNK ,12:37:17,60-64 (6),Male (448),01:14:16,00:07:52,05:42:01,00:05:41,05:27:27,#394,6,448,60-64,Male 
542,Olivier BEUNEUX ,12:37:55,25-29 (48),Male (449),01:25:19,00:11:43,06:21:44,00:07:37,04:31:30,#444,48,449,25-29,Male 
543,Ben ROCKETT ,12:38:07,30-34 (58),Male (450),01:11:23,00:05:31,05:47:07,00:05:50,05:28:14,#565,58,450,30-34,Male 
544,Eugene MURPHY ,12:38:11,45-49 (100),Male (451),01:13:36,00:05:12,05:46:02,00:06:51,05:26:29,#936,100,451,45-49,Male 
545,Jeffrey GADENNE ,12:38:43,45-49 (101),Male (452),01:11:10,00:09:33,05:12:28,00:10:34,05:54:55,#305,101,452,45-49,Male 
546,Gary MERKEL ,12:39:43,50-54 (40),Male (453),01:04:07,00:07:02,06:21:51,00:05:26,05:01:14,#1048,40,453,50-54,Male 
547,Andrew DAWSON ,12:39:54,45-49 (102),Male (454),01:20:33,00:06:54,05:43:16,00:03:51,05:25:18,#877,102,454,45-49,Male 
548,Ryuta MIZUSAKO ,12:40:09,40-44 (86),Male (455),01:25:33,00:07:59,05:58:16,00:04:32,05:03:47,#781,86,455,40-44,Male 
